City,Census_Population,Padacity_Sales,Household_with_Under_18,Land_Area,Population_Density,Total_Families
Buffalo,4585,185328,746,3115.5075,1.55,1819.5
Casper,35316,317736,7788,3894.3091,11.16,8756.32
Cheyenne,59466,917892,7158,1500.1784,20.34,14612.64
Cody,9520,218376,1403,2998.95696,1.82,3515.62
Douglas,6120,208008,832,1829.4651,1.46,1744.08
Evanston,12359,283824,1486,999.4971,4.95,2712.64
Gillette,29087,543132,4052,2748.8529,5.8,7189.43
Powell,6314,233928,1251,2673.57455,1.62,3134.18
Riverton,10615,303264,2680,4796.859815,2.34,5556.49
Rock Springs,23036,253584,4022,6620.201916,2.78,7572.18
Sheridan,17444,308232,2646,1893.977048,8.98,6039.71
