City,Census_Population,Household_with_Under_18,Land_Area,Padacity_Sales,Population_Density,Total_Families
Buffalo,4585,746,3115.5075,185328,1.55,1819.5
Casper,35316,7788,3894.3091,317736,11.16,8756.32
Cheyenne,59466,7158,1500.1784,917892,20.34,14612.64
Cody,9520,1403,2998.95696,218376,1.82,3515.62
Douglas,6120,832,1829.4651,208008,1.46,1744.08
Evanston,12359,1486,999.4971,283824,4.95,2712.64
Powell,6314,1251,2673.57455,233928,1.62,3134.18
Riverton,10615,2680,4796.859815,303264,2.34,5556.49
Rock Springs,23036,4022,6620.201916,253584,2.78,7572.18
Sheridan,17444,2646,1893.977048,308232,8.98,6039.71
