loan_amnt,total_acc,loan_status,funded_amnt,id,grade,emp_length,revol_bal,annual_inc,issue_date,addr_state
5000,9,Fully Paid,5000,1077501,B,10+ years,13648,24000,01/12/2011,AZ
2500,4,Charged Off,2500,1077430,C,< 1 year,1687,30000,01/12/2011,GA
2400,10,Fully Paid,2400,1077175,C,10+ years,2956,12252,01/12/2011,IL
10000,37,Fully Paid,10000,1076863,C,10+ years,5598,49200,01/12/2011,CA
3000,38,Current,3000,1075358,B,1 year,27783,80000,01/12/2011,OR
5000,12,Fully Paid,5000,1075269,A,3 years,7963,36000,01/12/2011,AZ
7000,11,Fully Paid,7000,1069639,C,8 years,17726,47004,01/12/2011,NC
3000,4,Fully Paid,3000,1072053,E,9 years,8221,48000,01/12/2011,CA
5600,13,Charged Off,5600,1071795,F,4 years,5210,40000,01/12/2011,CA
5375,3,Charged Off,5375,1071570,B,< 1 year,9279,15000,01/12/2011,TX
6500,23,Fully Paid,6500,1070078,C,5 years,4032,72000,01/12/2011,AZ
12000,34,Fully Paid,12000,1069908,B,10+ years,23336,75000,01/12/2011,CA
9000,9,Charged Off,9000,1064687,C,< 1 year,10452,30000,01/12/2011,VA
3000,11,Fully Paid,3000,1069866,B,3 years,7323,15000,01/12/2011,IL
10000,29,Charged Off,10000,1069057,B,3 years,11997,100000,01/12/2011,CA
1000,23,Fully Paid,1000,1069759,D,< 1 year,6524,28000,01/12/2011,MO
10000,28,Fully Paid,10000,1065775,C,4 years,24043,42000,01/12/2011,CA
3600,42,Fully Paid,3600,1069971,A,10+ years,22836,110000,01/12/2011,CT
6000,14,Fully Paid,6000,1062474,B,1 year,0,84000,01/12/2011,UT
9200,28,Fully Paid,9200,1069742,A,6 years,7314,77385,01/12/2011,CA
20250,22,Fully Paid,20250,1069740,C,3 years,17813,43370,01/12/2011,TX
21000,38,Charged Off,21000,1039153,B,10+ years,32135,105000,01/12/2011,FL
10000,21,Fully Paid,10000,1069710,B,10+ years,10056,50000,01/12/2011,TX
10000,17,Fully Paid,10000,1069700,B,5 years,17800,50000,01/12/2011,CA
6000,7,Charged Off,6000,1069559,B,1 year,5963,76000,01/12/2011,CA
15000,31,Fully Paid,15000,1069697,B,2 years,13707,92000,01/12/2011,IL
15000,11,Charged Off,15000,1069800,C,9 years,5872,60000,01/12/2011,NY
5000,22,Charged Off,5000,1069657,D,2 years,4345,50004,01/12/2011,PA
4000,44,Fully Paid,4000,1069799,B,10+ years,6110,106000,01/12/2011,FL
8500,12,Fully Paid,8500,1047704,B,< 1 year,6441,25000,01/12/2011,MN
4375,12,Fully Paid,4375,1032111,A,7 years,11210,17108,01/12/2011,NY
31825,26,Fully Paid,31825,1069539,A,5 years,23151,75000,01/12/2011,NJ
10000,31,Current,10000,1065420,C,2 years,16158,29120,01/12/2011,FL
5000,16,Fully Paid,5000,1069591,A,2 years,2224,24044,01/12/2011,OR
7000,6,Fully Paid,7000,1069530,C,7 years,6113,34000,01/12/2011,CA
12400,12,Fully Paid,12400,1069522,B,10+ years,11095,41000,01/12/2011,KY
10800,18,Fully Paid,10800,1069361,B,2 years,2535,55596,01/12/2011,CA
15000,27,Fully Paid,15000,1069357,A,1 year,6704,45000,01/12/2011,OH
6000,12,Fully Paid,6000,1069356,B,1 year,7310,36852,01/12/2011,AZ
12500,24,Current,12500,1069346,B,1 year,10143,27000,01/12/2011,IL
9600,11,Fully Paid,9600,1067573,A,4 years,2896,68004,01/12/2011,SC
12000,25,Fully Paid,12000,1069506,A,10+ years,8601,62300,01/12/2011,NJ
3000,22,Fully Paid,3000,1069314,D,9 years,43936,65000,01/12/2011,PA
4400,11,Fully Paid,4400,1060578,D,10+ years,25237,55000,01/12/2011,RI
6000,28,Fully Paid,6000,1069469,A,10+ years,3378,45600,01/12/2011,LA
14000,40,Fully Paid,14000,1051117,B,6 years,2219,80000,01/12/2011,MA
5000,35,Charged Off,5000,1069465,A,10+ years,74351,100000,01/12/2011,OH
10000,10,Fully Paid,10000,1069283,B,6 years,7814,27000,01/12/2011,NY
10000,18,Fully Paid,10000,1069287,A,10+ years,14019,60000,01/12/2011,CT
11000,7,Fully Paid,11000,1069453,A,5 years,11638,70000,01/12/2011,CT
15000,28,Charged Off,15000,1069248,B,8 years,11845,80000,01/12/2011,IL
25600,27,Fully Paid,25600,1068120,B,9 years,26088,110000,01/12/2011,CA
7000,12,Fully Paid,7000,1069244,B,< 1 year,12168,40000,01/12/2011,CA
12000,11,Charged Off,12000,1069243,C,4 years,15793,50000,01/12/2011,CA
12000,12,Fully Paid,12000,1069238,B,1 year,12143,46000,01/12/2011,TX
21000,14,Charged Off,21000,1069410,E,7 years,19448,50000,01/12/2011,WA
16000,21,Fully Paid,16000,1068409,E,7 years,27884,81000,01/12/2011,MA
10000,10,Fully Paid,10000,1068487,B,< 1 year,12874,39000,01/12/2011,OR
10000,24,Fully Paid,10000,1043961,B,2 years,10160,51400,01/12/2011,TX
7100,8,Fully Paid,7100,1068945,D,1 year,6021,33000,01/12/2011,TX
13000,27,Fully Paid,13000,1069142,B,< 1 year,17080,30000,01/12/2011,NJ
17500,6,Fully Paid,8950,1068934,D,6 years,10724,40000,01/12/2011,CA
17675,14,Fully Paid,17675,1069136,C,< 1 year,6661,50000,01/12/2011,WI
8000,20,Fully Paid,8000,1068923,D,< 1 year,6088,62000,01/12/2011,VA
10000,15,Charged Off,10000,1069126,B,10+ years,11170,45996,01/12/2011,OH
3500,12,Fully Paid,3500,1069102,B,7 years,6611,55000,01/12/2011,OH
