Store,Total_Sales,X._Dry_Grocery,X._Dairy,X._Frozen_Food,X._Meat,X._Produce,X._Floral,X._Deli,X._Bakery,X._General_Merchandise,Address,City,State,Zip,Type,Cluster
S0001,23508945.82,46.1347256191005,10.3083711135117,7.71992455083212,10.7677407544427,9.71710393775539,0.676943284562813,4.35499280928625,3.55438762077167,6.76581030973681,1000 W El Norte Pkwy,Escondido,CA,92027,Existing,3
S0002,17334619.57,45.7527949083223,10.6387614827823,7.88409295330154,11.4903453863337,10.1259398448973,0.743805882092398,3.97924175500092,2.97015275080537,6.41486503646414,12419 Woodside Ave,Lakeside,CA,92040,Existing,3
S0003,30240661.99,42.1349090976034,10.2356277155029,6.90274951881104,11.4712737477345,12.5398810093972,0.963139266251227,4.17608010835744,3.6108020398531,7.96553749648918,1342 N Alvarado St,Los Angeles,CA,90026,Existing,2
S0004,27913890.97,45.4559842754878,9.71110184142128,8.02771438209139,12.7727655160358,10.0409215003823,0.611962840234595,4.1785244889491,3.44687102573433,5.75415412966342,671 S Rancho Santa Fe Rd,San Marcos,CA,92078,Existing,3
S0005,27825886.17,44.016875132642,10.6268088711872,8.63385221704154,10.1863261521421,13.1112051480084,0.887725043115851,3.53892143446514,2.26068609695603,6.73759990444179,1430 S Fairfax Ave,Los Angeles,CA,90019,Existing,2
S0006,34625420.87,45.9835154055703,9.86092204573974,7.44431349925711,10.6915913135008,10.1782028967436,0.826503917669203,4.63088698912904,3.54168899377193,6.84237493861833,9643 Mission Gorge Rd,Santee,CA,92071,Existing,3
S0007,30863087.31,44.208679782917,10.21349578005,8.91698520746595,11.513459312441,10.344684308253,0.78383337859274,4.62976589363121,3.0176372202992,6.37145911634982,820 Arneill Rd,Camarillo,CA,93010,Existing,3
S0008,29181879.77,42.8456854340607,10.8732133262435,8.03214638150091,10.6877729076464,12.3696355013802,0.785879599969306,3.26226575362249,2.23977415146482,8.90362694411168,3461 W 3rd St,Los Angeles,CA,90020,Existing,2
S0009,40678620.31,44.2252268953612,10.0376118680609,7.70513630038108,11.8908012197526,10.3507489386628,0.728825603574164,4.42039365223496,2.57563410955321,8.06562141241903,4033 W Avenue L,Lancaster,CA,93536,Existing,3
S0010,21703928.12,43.1445351653699,11.4961550563779,8.03417423039273,10.71483008579,12.1628835822001,1.03830223153172,3.70989502705744,3.80513668048399,5.89408794079622,1040 Coast Village Rd,Montecito,CA,93108,Existing,2
S0011,22395673.62,45.3793380919971,9.39842835591385,7.18815074426861,12.1442549402539,9.84667243065493,0.789639566108304,4.87167833623751,3.24408447063268,7.13775306393306,3251 De Forest Cir Ste A,Mira Loma,CA,91752,Existing,3
S0012,49186541.13,46.5998768635106,9.72651219234045,7.43573582524037,11.4390617854775,9.43147434933285,0.682503713999212,4.50660924528401,1.8591681158939,8.31905790892111,1124 W Ocean Ave,Lompoc,CA,93436,Existing,1
S0013,39169150.41,44.5549198216577,9.07223203159591,7.53523969528446,11.4048296509886,9.26613700325086,0.791171794016964,4.62765957654582,3.42805992967668,9.31975049698301,3520 Riverside Plaza Dr,Riverside,CA,92506,Existing,1
S0014,30987962.62,44.4373274837776,9.77680803721068,7.71851405440995,9.86968258450804,10.6849081709651,1.0659684666936,3.49266385554973,2.05489027403506,10.8992370728502,3901 Portola Pkwy,Irvine,CA,92620,Existing,1
S0015,37353757.66,44.7967998890744,9.87655457204677,7.78688036281488,9.99899973651004,10.4974713807682,0.768547417941353,3.49771429126951,2.5105510094483,10.2664813401266,10675 Scripps Poway Pkwy,San Diego,CA,92131,Existing,1
