Period,Sub_Period,forecast,forecast_high_95,forecast_high_80,forecast_low_80,forecast_low_95
2016,1,21174989.403659,22840074.392095,22263729.9573257,20086248.8499923,19509904.415223
2016,2,20479354.577586,22316289.4077176,21680461.7029861,19278247.452186,18642419.7474544
2016,3,23580340.6804593,25927572.1322659,25115112.8321344,22045568.5287842,21233109.2286527
2016,4,22236546.2347248,24649240.9984131,23814122.5452975,20658969.9241521,19823851.4710365
2016,5,25427255.4570804,28396631.1296064,27368825.8491041,23485685.0650568,22457879.7845545
2016,6,26143967.4040537,29399195.6513751,28272446.7482997,24015488.0598076,22888739.1567323
2016,7,26399993.2670307,29879368.9503202,28675034.741879,24124951.7921824,22920617.5837412
2016,8,23172393.88002,26386378.249512,25273905.3020908,21070882.4579492,19958409.5105281
2016,9,20544268.6388198,23528908.8193567,22495819.9561528,18592717.3214868,17559628.4582829
2016,10,20182471.0857083,23241644.3216187,22182756.9484473,18182185.2229693,17123297.8497979
2016,11,20966876.3524667,24271769.8490465,23127830.057692,18805922.6472415,17661982.855887
2016,12,20965097.0016913,24391891.0310434,23205757.1810393,18724436.8223433,17538302.9723392
