Period,Sub_Period,forecast,forecast_high_95,forecast_high_80,forecast_low_80,forecast_low_95
2016,1,271286.503120191,291773.485317194,284682.220753245,257890.785487138,250799.520923189
2016,2,260396.416935471,282856.079532223,275082.00095105,245710.832919893,237936.75433872
2016,3,297779.417257057,326305.042745212,316431.321215926,279127.513298187,269253.791768901
2016,4,286024.116581443,315905.869735857,305562.744759472,266485.488403414,256142.36342703
2016,5,321819.117948878,358019.623434747,345489.356200633,298148.879697124,285618.61246301
2016,6,329977.24945431,369564.774879602,355862.141005889,304092.357902732,290389.724029019
2016,7,333199.874968743,375521.847166224,360872.725161113,305527.024776374,290877.902771262
2016,8,298032.503212609,337878.00244245,324086.07476836,271978.931656857,258187.003982767
2016,9,268621.196048891,306243.807665838,293221.299519103,244021.092578679,230998.584431944
2016,10,261120.064604989,299282.040206941,286072.83922877,236167.289981207,222958.089003037
2016,11,269718.679114518,310714.59214654,296524.465823628,242912.892405408,228722.766082495
2016,12,261771.961465817,303034.715464372,288752.226104679,234791.696826955,220509.207467263
