Month,Year,Avg_Produce_Sales_per_Store
03,2012,300563.436896552
04,2012,297887.688965517
05,2012,341491.544137931
06,2012,338869.694482759
07,2012,339662.385517241
08,2012,317913.504827586
09,2012,273948.034827586
10,2012,262492.022413793
11,2012,264334.844482759
12,2012,261923.199310345
01,2013,249566.51137931
02,2013,240362.729655172
03,2013,272046.84137931
04,2013,263693.945172414
05,2013,277158.578965517
06,2013,297863.348965517
07,2013,322736.230344828
08,2013,276525.519310345
09,2013,265331.822413793
10,2013,246548.754482759
11,2013,257088.083448276
12,2013,262217.092758621
01,2014,284247.359655172
02,2014,267022.109310345
03,2014,288458.877586207
04,2014,283365.351034483
05,2014,321843.397241379
06,2014,313188.492758621
07,2014,305212.590689655
08,2014,281101.092413793
09,2014,242545.150689655
10,2014,254798.464827586
11,2014,253104.585517241
12,2014,243535.800344828
01,2015,250546.947586207
02,2015,245829.540689655
03,2015,302521.374827586
04,2015,276632.373448276
05,2015,325870.933793103
06,2015,344500.879655172
07,2015,335224.656206896
08,2015,293593.935862069
09,2015,268966.077241379
10,2015,260064.430689655
11,2015,281956.590689655
12,2015,256671.430344828
